Peak,Route Name,State,Location,Summit Elevation,Climb Grade,Elevation Gain,Driving Distance (Miles),Driving Time (Hours),Typical Duration,Typical Season,Glaciated Peak,Rock Skills Required,Snow Angle,Rappelling Required,Crevasse Rescue Skills Required,Typical Gear,Notes,Guide Books,,,
Abiel Peak and Tinkham Peak,Annette Lake,Washington,Cascades - South,5300,A,1500,200,4.00,one day,Summer-Autumn,No,none,,No,No,Scrambling,These walk up peaks are located just south of Snoqualmie Pass.,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,http://goo.gl/maps/qpm4H,none,http://www.summitpost.org/abiel-peak/567364
Abiel Peak and Tinkham Peak,PCT Route,Washington,Cascades - South,5300,A,1500,200,4.00,one day,Summer-Autumn,No,none,,No,No,Scrambling,These walk up peaks are located just south of Snoqualmie Pass.,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,http://goo.gl/maps/qpm4H,none,http://www.summitpost.org/abiel-peak/567364
Mt. Adams,Lyman Glacier,Washington,Cascades - South,12176,D,7800,120,3.00,two or more days,Spring-Summer,Yes,none,between 35 and 50 degrees,No,Yes,Snow,The steep and quite crevassed Lyman Glacier has a narrow outcrop that separates it into halves. The N portion was the original route. The South portion is steep on the lower half (40 degrees) with unbroken neve or ice; the upper half is a series of crevasses and serac walls. ,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,http://www.mazamas.org/your/adventure/starts-here/C463/,USFS Trout Lake Ranger District Office: 509-395-3400,
Mt. Adams,Lava Glacier Headwall,Washington,Cascades - South,12176,D,7800,120,3.00,two or more days,Spring-Summer,Yes,none,between 35 and 50 degrees,,,Snow,This headwall forms a triangle between the North Ridge and the Lava Ridge. It is best done in early season to avoid icy conditions and rockfall. ,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,http://www.mazamas.org/your/adventure/starts-here/C463/,USFS Trout Lake Ranger District Office: 509-395-3400,
Mt. Adams,Avalanche-White Salmon Glacier,Washington,Cascades - South,12276,C,6700,100,2.00,two or more days,Spring-Summer,Yes,none,up to 35 degrees,No,No,Snow,"This is a gently sloping glacier route on the SW slopes, with the attraction of solitude over the South Side route. However, when the White Salmon breaks up, some ice work may be required. ",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,http://www.mazamas.org/your/adventure/starts-here/C463/,USFS Trout Lake Ranger District Office: 509-395-3400,
Mt. Adams,North Ridge,Washington,Cascades - South,12276,B,7800,100,2.00,two or more days,Spring-Summer,Yes,4th Class,between 35 and 50 degrees,No,Yes,Snow and Rock,"The North Ridge is the easiest route on the North side of the peak, with year-round climbing and ranking second in popularity with the south side. Some exposure and rotten rock on the upper ridge.  Great views down onto the Adams Glacier route.  This route is a popular way to descend some of the more technical routes in the area.  It can be fairly ugly scree in late season.  ","Climbs in the Cascades by Nelson and Potterfield
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey",,USFS Trout Lake Ranger District Office: 509-395-3400,
Mt. Adams,Pinnacle Glacier ,Washington,Cascades - South,12276,C,6700,100,2.00,two or more days,Spring-Summer,Yes,none,between 35 and 50 degrees,No,Yes,Snow,"The Pinnacle Glacier is a more technical route on the west side of the peak, with crevasses, seracs, and attendant routefinding challenges.  Be fit and move fast.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,,USFS Trout Lake Ranger District Office: 509-395-3400,
Mt. Adams,Adams Glacier,Washington,Cascades - South,12276,D,7800,100,2.00,two or more days,Spring-Summer,Yes,none,between 35 and 50 degrees,No,Yes,Snow,"The Adams Glacier is a more technical route on the NE side of the peak, with crevasses, seracs, and attendant routefinding challenges.  Be fit and move fast.","Climbs in the Cascades by Nelson and Potterfield
Cascade Alpine Guide: Columbia River to Stevens Pass  by Fred Beckey",,USFS Trout Lake Ranger District Office: 509-395-3400,
Mt. Adams,Mazama Glacier ,Washington,Cascades - South,12276,B,6700,100,2.00,two or more days,Summer-Autumn,Yes,none,between 35 and 50 degrees,No,Yes,Snow,"The Mazama Glacier route is a less crowded and slightly more technical (crevasses present) route than the standard South Side of Adams.  Be careful if you glissade - a twisted ankle here is a LOT more serious problem than on Hood.  Rather than descending the same way you climbed, a faster (an more fun!) way down can be to glissade (carefully) the normal south side route from the false summit to about 9600 feet, traverse to the western edge of the Mazama Glacier, then descend the last 1000 feet to camp.","Climbers Guide to the Cascade Volcanoes by Jeff Smoot 
Climbs in the North Cascades by Nelson and Potterfield 
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey",,Trout Lake Ranger District Office: 509-395-3400,
Mt. Adams,South Side,Washington,Cascades - South,12276,A,6700,100,2.00,two or more days,Summer-Autumn,Yes,none,up to 35 degrees,No,No,Snow,"The South Side route is a high, gentle climb great for beginning climbers who want an overnight trip with fewer people and a more wilderness feel than Hood.  There are no crevasses on this route.  Be careful if you glissade - a twisted ankle here is a LOT more serious problem than on Hood.  Skiers take note:  this route can have over a 6,000 foot vertical descent in early season!","Climbers Guide to the Cascade Volcanoes by Jeff Smoot 
Climbs in the North Cascades by Nelson and Potterfield 
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey",,Trout Lake Ranger District Office: 509-395-3400,
Mt. Aix,Nelson Ridge,Washington,Mt. Rainier Nat. Park,7766,A,4400,203,4.25,one day,Summer-Autumn,No,3rd Class,up to 35 degrees,No,No,Scrambling,"Mt. Aix is the dominant Cascades peak in the William O. Douglas Wilderness just east of Mt. Rainier National Park -- and ranks as the 39th most prominent peak in the Washington Cascades (7766' elevation). With a southwest exposure and located in Mt. Rainier's rain shadow, this peak is often accessible earlier in the season than many peaks of comparable height.  Great views of the surrounding Cascade peaks and often mountain goats. ","Cascade Alpine Guide, Volume I, Columbia River to Stevens Pass by Fred Beckey","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=mt+aix+WA&sll=47.275502,-121.118774&sspn=2.087122,5.822754&ie=UTF8&ll=46.795183,-121.256189&spn=0.016453,0.04549&t=p&z=15",Mt. Rainier NP: 360-569-2211,http://www.summitpost.org/mountain/rock/152717/mount-aix.html
Mt. Anderson,SE Couloir ,Washington,- Olympic Range,7321,C,5721,190,3.00,two or more days,Summer-Autumn,Yes,3rd Class,up to 35 degrees,No,No,Snow,"To get to the summit of Anderson, you need to traverse heather slopes, snow fields, cross ridges and ascend 800 feet of a 3rd class gully as well as a snow slope from a high camp.   Good routefinding skills required!  Note:  there was extensive trail damage on this approach in 2001, and you should call ahead before you try this climb to be sure the route is open.  The approach hike to this peak is one of the longest in the NW, so you were warned.",Climbers Guide to the Olympic Mountains by Olympic Mountain Rescue;Climbing Washington's Mountains by Jeff Smoot,,"Olympic National Forest, Quilcene Ranger District: 360-765-2200",
Mt. Angeles,East Ridge,Washington,- Olympic Range,6454,B,2100,245,5.00,one day,Spring-Summer,No,3rd Class,up to 35 degrees,No,No,Scrambling,"Take the Hurricane Ridge Road for 10.1 miles past the National Park boundary (2.9 miles below the Visitors Center) where the road crosses a major couloir descending from the south side of the peak. Follow the Switchback trail up the right side of the creek to the Mt. Angeles-Hurricane Ridge Trail. Turn right and continue to the Klahane Saddle Ascend the south face in a NW direction over scree gullies / snow fields to the top of the East Ridge near the summit of the Middle Peak. Follow the ridge west over the Middle Peak (up to 3rd class scrambling). A large gap in the ridge below the summit requires a short, steep down climb to join the climber's trail from Hurricane Ridge. In early season this is ~ 35 degree snow; later in the season a 3rd class down climb that some climbers choose to rappel. Descent is made on the climber's trail down the north side of the peak, traversing to the west, then joining the Mt. Angles-Hurricane Ridge trail back to the Switchback trail.",Climbers Guide to the Olympic Mountains,,Olympic NP Visitor Information 360-565-3130,
Mt. Angeles,Switchback Trail,Washington,- Olympic Range,6545,A,2400,240,5.00,one day,Summer-Autumn,No,3rd Class,,No,No,Scrambling,"Mount Angeles has several summits, of which the westernmost is the highest. This is a craggy peak with many routes to the top, but none of them is a walk-up. Moreover the rock is seriously loose in the big gullies. The easiest paths are scrambles, but only if you are a competent route finder through difficult terrain. ",75 Scrambles in Washington by Peggy Goldman,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Mt.+Angeles+WA&sll=47.721196,-123.331575&sspn=0.017727,0.045233&g=mt+anderson+WA&ie=UTF8&t=p&z=15&iwloc=addr",none,http://www.summitpost.org/mountain/rock/151878/mount-angeles.html
